slide no,std no.,gray.values
1,0,4059.146
1,1,17140.705
1,2,32386.933
1,3,43242.54
1,4,50525.287
,,
2,0,3854.527
2,1,16862.263
2,2,32031.335
2,3,42929.81
2,4,50224.712
,,
3,0,3701.855
3,1,16348.279
3,2,31393.792
3,3,42268.229
3,4,49695.307
,,
4,0,3899.646
4,1,16841.368
4,2,31917.333
4,3,42757.861
4,4,50029.932
,,
5,0,4093.767
5,1,16686.679
5,2,31674.622
5,3,42623.882
5,4,50171.649
,,
6,0,4266.469
6,1,17082.567
6,2,32128.192
6,3,43033.453
6,4,50493.056
,,
7,0,4173.938
7,1,17043.363
7,2,32199.448
7,3,43089.886
7,4,50480.494
,,
8,0,3959.028
8,1,16694.408
8,2,31762.664
8,3,42660.791
8,4,50176.332
,,
9,0,3990.182
9,1,16496.657
9,2,31539.671
9,3,42538.997
9,4,50080.562
,,
10,0,4059.096
10,1,16794.979
10,2,31872.285
10,3,42809.769
10,4,50292.664
,,
11,0,4164.454
11,1,16782.83
11,2,31788.616
11,3,42758.753
11,4,50317.029
,,
12,0,4056.198
12,1,16732.88
12,2,32080.577
12,3,43006.096
12,4,50336.344
,,
13,0,3716.173
13,1,16468.845
13,2,31830.937
13,3,42740.216
13,4,50056.781
,,
14,0,3912.868
14,1,16767.564
14,2,32129.879
14,3,43014.494
14,4,50325.211
,,
15,0,4305.969
15,1,16855.296
15,2,31962.417
15,3,42831.708
15,4,50340.001
,,
16,0,3983.935
16,1,16770.526
16,2,32088.868
16,3,42990.981
16,4,50349.577
,,
17,0,3686.391
17,1,16465.797
17,2,31775.763
17,3,42657.949
17,4,50016.727
,,
18,0,4175.945
18,1,17061.878
18,2,32514.014
18,3,43362.72
18,4,50694.63
,,
19,0,4020.742
19,1,16836.524
19,2,32386.232
19,3,43330.073
19,4,50567.878
,,
20,0,4088.809
20,1,16885.436
20,2,32411.447
20,3,43332.6
20,4,50562.024
,,
21,0,3700.928
21,1,16713.793
21,2,32288.475
21,3,43166.294
21,4,50393.123
,,
22,0,3649.252
22,1,16417.711
22,2,31939.843
22,3,42851.003
22,4,50093.05
,,
23,0,4264.289
23,1,17013.907
23,2,32510.183
23,3,43395.447
23,4,50644.858
,,
24,0,4210.164
24,1,16814.571
24,2,32302.552
24,3,43240.029
24,4,50532.665
,,
25,0,3801.116
25,1,16680.976
25,2,32313.461
25,3,43381.86
25,4,50545.382
,,
26,0,3822.31
26,1,16679.335
26,2,32412.353
26,3,43345.386
26,4,50550.584
,,
27,0,4666.218
27,1,17145.043
27,2,32520.944
27,3,43479.628
27,4,50779.839
,,
28,0,4232.228
28,1,17016.551
28,2,32507.956
28,3,43441.609
28,4,50660.993
,,
29,0,3922.904
29,1,16723.327
29,2,32192.505
29,3,43102.299
29,4,50339.496
,,
30,0,4237.444
30,1,16761.185
30,2,32186.571
30,3,43118.395
30,4,50388.809
,,
31,0,4259.615
31,1,16887.237
31,2,32409.701
31,3,43347.531
31,4,50578.833
,,
32,0,4301.223
32,1,16878.039
32,2,32419.927
32,3,43390.257
32,4,50616.72
,,
33,0,4134.039
33,1,16817.126
33,2,32326.976
33,3,43251.624
33,4,50487.746
,,
34,0,3831.295
34,1,16366.739
34,2,31894.319
34,3,42857.911
34,4,50075.919
,,
35,0,4244.259
35,1,16942.386
35,2,32481.232
35,3,43433.079
35,4,50651.507
,,
36,0,4123.846
36,1,16916.133
36,2,32440.069
36,3,43375.281
36,4,50609.141
,,
37,0,3677.22
37,1,16351.209
37,2,31791.405
37,3,42702.7
37,4,49987.468
,,
38,0,3946.914
38,1,16497.454
38,2,32023.889
38,3,42971.745
38,4,50222.72
,,
39,0,4146.001
39,1,16743.322
39,2,32159.903
39,3,43096.193
39,4,50392.071
,,
40,0,3880.36
40,1,16480.032
40,2,31926.87
40,3,42941.593
40,4,50168.319
,,
41,0,3932.783
41,1,16774.468
41,2,32197.692
41,3,43157.604
41,4,50354.736
,,
42,0,4078.614
42,1,16779.44
42,2,32231.115
42,3,43214.579
42,4,50428.76
,,
43,0,4113.21
43,1,16315.966
43,2,31977.999
43,3,42899.124
43,4,50078.989
,,
44,0,4040.1
44,1,16806.604
44,2,32443.071
44,3,43324.802
44,4,50441.136
,,
45,0,4195.922
45,1,16700.57
45,2,32077.145
45,3,43517.922
45,4,49992.11
